tweet_id,retweets,favorites,creation_time
800141422401830912,2422,14704,2016-11-20 00:59:15+00:00
800018252395122689,12492,27220,2016-11-19 16:49:49+00:00
799774291445383169,4436,0,2016-11-19 00:40:24+00:00
799757965289017345,2038,8083,2016-11-18 23:35:32+00:00
799422933579902976,1828,7786,2016-11-18 01:24:14+00:00
799308762079035393,5169,0,2016-11-17 17:50:33+00:00
799297110730567681,2608,9512,2016-11-17 17:04:16+00:00
799063482566066176,2374,7790,2016-11-17 01:35:54+00:00
798933969379225600,4222,12592,2016-11-16 17:01:16+00:00
798925684722855936,1381,7263,2016-11-16 16:28:21+00:00
798705661114773508,6312,0,2016-11-16 01:54:03+00:00
798701998996647937,7369,0,2016-11-16 01:39:30+00:00
798697898615730177,6184,0,2016-11-16 01:23:12+00:00
798694562394996736,4718,0,2016-11-16 01:09:57+00:00
798686750113755136,2208,0,2016-11-16 00:38:54+00:00
798682547630837760,4502,0,2016-11-16 00:22:12+00:00
798673117451325440,5299,0,2016-11-15 23:44:44+00:00
798665375516884993,3727,0,2016-11-15 23:13:58+00:00
798644042770751489,1764,0,2016-11-15 21:49:12+00:00
798628517273620480,1886,0,2016-11-15 20:47:30+00:00
798585098161549313,5371,0,2016-11-15 17:54:59+00:00
798576900688019456,5577,0,2016-11-15 17:22:24+00:00
798340744599797760,3190,0,2016-11-15 01:44:00+00:00
798209839306514432,2456,10068,2016-11-14 17:03:50+00:00
797971864723324932,2941,11127,2016-11-14 01:18:12+00:00
797545162159308800,4675,14051,2016-11-12 21:02:38+00:00
797236660651966464,6242,19179,2016-11-12 00:36:46+00:00
797165961484890113,25,217,2016-11-11 19:55:50+00:00
796904159865868288,8492,0,2016-11-11 02:35:32+00:00
796865951799083009,1856,7414,2016-11-11 00:03:42+00:00
796759840936919040,2883,11361,2016-11-10 17:02:03+00:00
796563435802726400,6860,0,2016-11-10 04:01:37+00:00
796484825502875648,1673,7284,2016-11-09 22:49:15+00:00
796387464403357696,3948,10597,2016-11-09 16:22:22+00:00
796177847564038144,13578,0,2016-11-09 02:29:25+00:00
796149749086875649,13578,30931,2016-11-09 00:37:46+00:00
796125600683540480,1709,4801,2016-11-08 23:01:49+00:00
796116448414461957,2284,8769,2016-11-08 22:25:27+00:00
796080075804475393,2197,8135,2016-11-08 20:00:55+00:00
796031486298386433,3550,10421,2016-11-08 16:47:50+00:00
795464331001561088,22304,47435,2016-11-07 03:14:10+00:00
795400264262053889,2722,9639,2016-11-06 22:59:35+00:00
795076730285391872,5171,15568,2016-11-06 01:33:58+00:00
794983741416415232,3200,0,2016-11-05 19:24:28+00:00
794926597468000259,2192,9836,2016-11-05 15:37:24+00:00
794355576146903043,9805,0,2016-11-04 01:48:22+00:00
794332329137291264,2565,9269,2016-11-04 00:15:59+00:00
794205286408003585,3162,8891,2016-11-03 15:51:10+00:00
793962221541933056,4657,16137,2016-11-02 23:45:19+00:00
793845145112371200,1772,8897,2016-11-02 16:00:06+00:00
793614319594401792,2983,0,2016-11-02 00:42:53+00:00
793601777308463104,1539,7677,2016-11-01 23:53:02+00:00
793500921481273345,2262,10261,2016-11-01 17:12:16+00:00
793286476301799424,8704,23654,2016-11-01 03:00:09+00:00
793271401113350145,2290,8381,2016-11-01 02:00:14+00:00
793256262322548741,7929,19200,2016-11-01 01:00:05+00:00
793241302385262592,3125,10113,2016-11-01 00:00:38+00:00
793226087023144960,2754,9410,2016-10-31 23:00:11+00:00
793210959003287553,2648,8585,2016-10-31 22:00:04+00:00
793195938047070209,5349,14628,2016-10-31 21:00:23+00:00
793180763617361921,1896,6651,2016-10-31 20:00:05+00:00
793165685325201412,2660,9022,2016-10-31 19:00:10+00:00
